Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic,Validation,Link
Model Relations,"Foreign key constraints not created",Weak relations implementation,Configure foreignKeys,Use proper migration order,Implement database constraints,migrateSchema with model order,Constraints exist in DB,loopback.io/doc/en/lb4/Model.html
Authentication,"Authentication bypass via AccessToken",CVE-2018-1778 vulnerability,Upgrade to LB 3.26.0+,Disable AccessToken endpoints,Implement custom auth,curl -X POST /api/AccessTokens,No bypass possible,security.snyk.io/vuln/SNYK-JS-LOOPBACK-174846
Authentication,"JWT token validation failures",Weak JWT configuration,Use strong algorithms,Set short expiration,Validate signatures,node -e jwt.verify(),Tokens validate properly,loopback.io/doc/en/lb4/Authentication-tutorial.html
Authentication,"SQL injection in login endpoints",SNYK-JS-LOOPBACK-174846,Validate input properly,Use parameterized queries,Implement input sanitization,npm audit --audit-level moderate,No injection vulnerabilities,security.snyk.io/vuln/SNYK-JS-LOOPBACK-174846
CORS Configuration,"Access-Control-Allow-Origin: *",Origin reflection vulnerability,Set specific origins,Validate origin headers,Implement CORS policies,curl -H "Origin: evil.com",CORS blocks unauthorized,loopback.io/doc/en/lb4/Middleware.html
Controller Routes,"Cannot apply multiple route decorators",Framework limitations,Use separate methods,Implement custom routing,Create route middleware,DEBUG=loopback:* npm start,Routes work as expected,loopback.io/doc/en/lb4/Controller.html
Controller Routes,"Path parameters don't support slashes",Route parameter restrictions,Use query parameters,Implement custom parsing,Use middleware for complex routes,console.log(request.params),Parameters parsed correctly,loopback.io/doc/en/lb4/Route.html
TypeScript Compilation,"error TS1039: Initializers not allowed",TypeScript version issues,Use ~ instead of ^,Clean compiled files,Update type definitions,npm run clean && npm run build,TypeScript compiles,loopback.io/doc/en/lb4/Best-practices.html
TypeScript Compilation,"CANNOT_INFER_PROPERTY_TYPE",Decorator metadata issues,Enable emitDecoratorMetadata,Install missing types,Update TypeScript config,tsc --noEmit,No compilation errors,loopback.io/doc/en/lb4/Decorators.html
Testing Framework,"Database connection leaks in tests",Improper test cleanup,Add after hooks,Stop datasources,Use test timeout,DEBUG=loopback:* npm test,Tests don't hang,loopback.io/doc/en/lb4/Defining-your-testing-strategy.html
Testing Framework,"Service mocking in acceptance tests",Dependency injection complexity,Replace service bindings,Use test doubles,Implement mock providers,app.bind('services.test').to(Mock),Mocks work properly,loopback.io/doc/en/lb4/Testing-your-application.html
Testing Framework,"Unit test vs integration confusion",Testing strategy issues,Follow testing pyramid,Use proper test types,Implement test boundaries,npm test,Tests are reliable,loopback.io/doc/en/lb4/Unit-testing.html
Hot Reload,"Manual server restart required",Missing hot reload config,Configure nodemon,Use tsc-watch,Set up TypeScript watch,npm run start:watch,Auto-reload works,loopback.io/doc/en/lb4/Development-workflow.html
Hot Reload,"Build compilation errors",Stale compiled files,Run npm run clean,Configure build properly,Update dependencies,npm run build,Build succeeds,loopback.io/doc/en/lb4/Best-practices.html
Performance,"High memory usage",ORM and framework overhead,Use Clinic.js profiling,Optimize queries,Implement caching,clinic doctor -- node .,Memory usage acceptable,loopback.io/blog/2020-improve-looopback-performance-uuid
Performance,"Slow response times",N+1 query problems,Implement database joins,Use query optimization,Add response caching,DEBUG=loopback:connector:* npm start,Response times good,loopback.io/doc/en/lb4/Best-practices.html
Performance,"ORM joins in JavaScript",Inefficient query patterns,Use database-level joins,Optimize repository methods,Implement custom queries,EXPLAIN SQL queries,Queries optimized,loopback.io/doc/en/lb4/Repository.html
CLI Tools,"lb4 repository fails unclear errors",Poor CLI error handling,Validate JSON files,Use manual creation,Implement error handling,jq . config.json,CLI commands work,loopback.io/doc/en/lb4/Command-line-interface.html
CLI Tools,"lb4 relation fails but makes changes",AST parsing limitations,Manually fix changes,Use git reset,Validate before CLI,git status,No partial changes,loopback.io/doc/en/lb4/CLI-reference.html
Migration,"Feature parity gaps LB3 to LB4",Complete architectural rewrite,Use incremental migration,Mount LB3 in LB4,Plan significant effort,Compare API endpoints,Migration successful,loopback.io/doc/en/lb4/migration/overview.html
Migration,"Breaking changes in scope",No automated migration,Manual code conversion,Rewrite from scratch,Train team on LB4,Test functionality,Features work properly,loopback.io/doc/en/lb4/migration/overview.html
Docker Deployment,"Container configuration issues",Missing optimization,Use generated Dockerfile,Optimize image size,Configure environment,docker build -t app .,Container runs,loopback.io/doc/en/lb4/Deploying-to-Docker.html
Environment Config,"Environment variable management",Secret management problems,Use dotenv,Implement vault,Configure CI/CD,node -e console.log(process.env),Config loads properly,loopback.io/doc/en/lb4/Environment-specific-configurations.html
Monitoring,"Insufficient logging structure",Missing observability,Add structured logging,Implement monitoring,Use correlation IDs,grep error logs,Logs are useful,loopback.io/doc/en/lb4/Best-practices.html
Security Headers,"Missing security middleware",No security headers,Add Helmet integration,Configure CSP,Implement HSTS,curl -I http://localhost:3000,Headers present,loopback.io/doc/en/lb4/Middleware.html
Rate Limiting,"No API rate limiting",API abuse vulnerability,Add express-rate-limit,Configure per endpoint,Monitor usage,ab -n 1000 -c 10 url,Rate limiting works,loopback.io/doc/en/lb4/Middleware.html
Input Validation,"Insufficient input sanitization",XSS and injection risks,Use JSON schema validation,Add custom validators,Sanitize inputs,curl with malicious payload,Validation blocks attacks,loopback.io/doc/en/lb4/Validation.html
Error Handling,"Inconsistent error responses",Default error handler,Configure error options,Implement custom handler,Add error middleware,Test error responses,Errors are consistent,loopback.io/doc/en/lb4/Error-handling.html
Extension Loading,"Extension compatibility issues",Version conflicts,Check extension versions,Use compatible versions,Implement version checks,npm ls,Extensions load properly,loopback.io/doc/en/lb4/Community-extensions.html
