Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Topic Management,"InvalidReplicationFactorException: Not enough brokers","Replication factor exceeds broker count","Reduce replication factor","Add more brokers to cluster","Implement broker monitoring","kafka-topics.sh --bootstrap-server localhost:9092 --describe","Topics created with proper replication","https://kafka.apache.org/documentation/#replication"
Topic Management,"PolicyViolationException: Topic creation policy violation","Topic configuration violates cluster policy","Adjust topic configuration to match policy","Update cluster topic creation policy","Implement topic validation","kafka-configs.sh --bootstrap-server localhost:9092 --describe --entity-type topics","Topic creation succeeds","https://kafka.apache.org/documentation/#topicconfigs"
Topic Management,"UnknownTopicOrPartitionException: Topic not found","Topic deleted or never created","Create missing topic","Verify topic name spelling","Implement topic existence checks","kafka-topics.sh --bootstrap-server localhost:9092 --list","Topic exists and is accessible","https://kafka.apache.org/documentation/#topicconfigs"
Topic Management,"NotEnoughReplicasException: Below min.insync.replicas","ISR count below minimum threshold","Check broker health and connectivity","Adjust min.insync.replicas setting","Add more replicas to topic","kafka-topics.sh --bootstrap-server localhost:9092 --describe --under-replicated-partitions","All partitions have sufficient ISR","https://kafka.apache.org/documentation/#durability"
Topic Management,"Partition leadership imbalanced","Uneven leader distribution across brokers","Run preferred replica election","Implement auto.leader.rebalance.enable","Monitor and alert on leadership skew","kafka-preferred-replica-election.sh --bootstrap-server localhost:9092","Balanced leader distribution","https://kafka.apache.org/documentation/#balancing"
Cluster Operations,"Broker OutOfMemoryError Java heap space","JVM heap size insufficient for workload","Increase JVM heap size (-Xmx)","Optimize Kafka memory settings","Implement heap monitoring","jstat -gc -t $(pgrep -f kafka.Kafka) 5s","JVM heap usage within limits","https://kafka.apache.org/documentation/#hwandos"
Cluster Operations,"IOException: Map failed disk space","Insufficient disk space for log segments","Clean up old log segments","Increase disk capacity","Implement disk monitoring","df -h /var/kafka-logs","Sufficient free disk space","https://kafka.apache.org/documentation/#diskandfs"
Cluster Operations,"LogDirFailureHandler: Error deleting log","Disk failure or permission issues","Check disk health and permissions","Replace failed disk","Implement disk redundancy","fsck /var/kafka-logs","No disk errors or permission issues","https://kafka.apache.org/documentation/#diskandfs"
Cluster Operations,"Controller election taking too long","Network issues or split-brain scenario","Check network connectivity between brokers","Restart controller broker","Implement controller monitoring","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.controller:type=KafkaController","Controller election completes quickly","https://kafka.apache.org/documentation/#controller"
Cluster Operations,"Broker request timeout errors","High load or resource contention","Increase request timeout settings","Scale broker resources","Implement load balancing","kafka-broker-api-versions.sh --bootstrap-server localhost:9092","No request timeout errors","https://kafka.apache.org/documentation/#networklayer"
Serialization,"SerializationException during message processing","Schema mismatch or invalid data format","Fix data format to match schema","Update schema compatibility settings","Implement schema validation","curl -X GET http://localhost:8081/subjects","No serialization errors","https://docs.confluent.io/platform/current/schema-registry/index.html"
Serialization,"RestClientException: Schema not found","Missing schema in schema registry","Register required schema","Check schema registry connectivity","Implement schema auto-registration","curl -X GET http://localhost:8081/subjects/your-topic-value/versions","Schema exists and is accessible","https://docs.confluent.io/platform/current/schema-registry/develop/api.html"
Serialization,"AvroTypeException: Expected field not found","Schema evolution compatibility issue","Use compatible schema evolution","Implement schema compatibility testing","Add default values for new fields","curl -X POST http://localhost:8081/compatibility/subjects/your-topic-value/versions/latest","Schema compatibility test passes","https://docs.confluent.io/platform/current/schema-registry/avro.html"
Serialization,"JsonMappingException: Cannot deserialize value","JSON schema mismatch or format error","Fix JSON format to match expected schema","Update JSON schema definition","Implement JSON validation","echo '{}' | kafka-console-consumer.sh --bootstrap-server localhost:9092 --topic your-topic","JSON deserializes successfully","https://kafka.apache.org/documentation/#serialization"
Serialization,"Schema compatibility check fails","Breaking schema change attempted","Use backward compatible schema changes","Implement proper schema versioning","Add schema evolution tests","curl -X POST http://localhost:8081/compatibility/subjects/your-topic-value/versions/latest","Compatibility check passes","https://docs.confluent.io/platform/current/schema-registry/avro.html"
Monitoring,"UnknownServerException: Unexpected error","Broker internal error or resource issue","Check broker logs for details","Restart affected broker","Implement comprehensive monitoring","tail -f /var/kafka-logs/server.log | grep ERROR","No unknown server exceptions","https://kafka.apache.org/documentation/#monitoring"
Monitoring,"ControllerEventManager processing error","Controller state corruption or overload","Check controller logs","Force controller re-election","Monitor controller metrics","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.controller:type=ControllerEventManager","Controller processes events normally","https://kafka.apache.org/documentation/#controller"
Monitoring,"Group coordinator not available","Consumer group coordinator failure","Check group coordinator broker health","Restart group coordinator","Implement coordinator monitoring","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --describe --group your-group","Group coordinator responds normally","https://kafka.apache.org/documentation/#consumergroup"
Monitoring,"LeaderNotAvailableException for partition","Partition leader election failure","Trigger preferred replica election","Check ISR and broker health","Implement partition monitoring","kafka-topics.sh --bootstrap-server localhost:9092 --describe --topic your-topic","All partitions have available leaders","https://kafka.apache.org/documentation/#replication"
Monitoring,"High CPU usage on brokers","Resource contention or inefficient operations","Identify CPU-intensive operations","Scale broker resources","Optimize Kafka configuration","top -p $(pgrep -f kafka.Kafka)","CPU usage within acceptable limits","https://kafka.apache.org/documentation/#hwandos"
Monitoring,"Network connection errors increasing","Network instability or capacity issues","Check network infrastructure","Implement connection pooling","Monitor network metrics","ss -s | grep tcp","Stable network connections","https://kafka.apache.org/documentation/#networklayer"
Monitoring,"JMX metrics collection failing","JMX port configuration or firewall","Configure JMX port and security","Check JMX connectivity","Implement monitoring redundancy","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.server:type=BrokerTopicMetrics","JMX metrics available","https://kafka.apache.org/documentation/#monitoring"
Performance,"Message throughput below expected","Suboptimal producer/consumer configuration","Tune batch size and linger time","Optimize serialization and compression","Implement proper partitioning strategy","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.server:type=BrokerTopicMetrics,name=MessagesInPerSec","Throughput meets requirements","https://kafka.apache.org/documentation/#performance"
Performance,"High end-to-end latency","Network latency or processing delays","Optimize network configuration","Reduce message processing time","Implement async processing","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.network:type=RequestMetrics,name=TotalTimeMs","Latency within SLA requirements","https://kafka.apache.org/documentation/#latency"
Performance,"Disk I/O bottleneck on brokers","Insufficient disk performance","Use faster storage (SSD)","Optimize log segment configuration","Implement disk striping","iostat -x 1","Disk I/O within acceptable limits","https://kafka.apache.org/documentation/#diskandfs"
Performance,"Memory pressure on broker JVM","Insufficient heap or too many objects","Increase JVM heap size","Optimize memory settings","Implement garbage collection tuning","jstat -gc $(pgrep -f kafka.Kafka)","JVM memory usage stable","https://kafka.apache.org/documentation/#jvm"
Performance,"Consumer group rebalancing frequently","Consumer instability or timeout issues","Increase session timeout","Optimize consumer processing speed","Implement sticky partitioning","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --describe --group your-group","Rebalancing occurs infrequently","https://kafka.apache.org/documentation/#consumerperformance"
Security,"Authentication failures","Incorrect SASL/SSL configuration","Fix authentication configuration","Update client credentials","Implement proper credential management","kafka-console-consumer.sh --bootstrap-server localhost:9092 --consumer.config client.properties","Authentication succeeds","https://kafka.apache.org/documentation/#security"
Security,"Authorization denied errors","ACL configuration preventing access","Update ACL permissions","Configure proper user roles","Implement least privilege access","kafka-acls.sh --bootstrap-server localhost:9092 --list","User has appropriate permissions","https://kafka.apache.org/documentation/#security_authz"
Security,"SSL handshake failures","Certificate or SSL configuration issues","Fix certificate configuration","Update SSL protocols","Implement certificate monitoring","openssl s_client -connect broker1:9093","SSL handshake completes successfully","https://kafka.apache.org/documentation/#security_ssl"
Operations,"Kafka Connect task failures","Connector configuration or resource issues","Fix connector configuration","Restart failed tasks","Implement connector monitoring","curl -X GET http://localhost:8083/connectors/your-connector/status","All connector tasks running","https://kafka.apache.org/documentation/#connect"
Operations,"Schema Registry unavailable","Schema Registry service down or overloaded","Restart Schema Registry service","Check service health and resources","Implement service redundancy","curl -X GET http://localhost:8081/subjects","Schema Registry responds to requests","https://docs.confluent.io/platform/current/schema-registry/index.html"
Operations,"Kafka Streams application lag","Processing slower than input rate","Scale application instances","Optimize stream processing logic","Implement monitoring and alerting","kafka-streams-application-reset.sh --application-id your-app","Stream processing keeps up with input","https://kafka.apache.org/documentation/#streams"
Operations,"ZooKeeper connection issues","ZooKeeper ensemble problems or network","Fix ZooKeeper connectivity","Update ZooKeeper configuration","Migrate to KRaft mode","echo ruok | nc localhost 2181","ZooKeeper responds to health checks","https://kafka.apache.org/documentation/#zk"
